ID,DEPENDENT ON ITEM,DS0,DS1,DS2,DS3,DS4
1,Independent,Independent,Independent,Independent,Independent,Independent
2,Independent,Independent,Independent,Independent,Independent,Independent
3,Independent,Independent,Independent,Independent,Independent,Independent
4,Independent,Independent,Independent,Independent,Independent,Independent
5,Independent,Independent,Independent,Independent,Independent,Independent
6,Independent,Independent,Independent,Independent,Independent,Independent
7,Independent,Independent,Independent,Independent,Independent,Independent
8,Independent,Independent,Independent,Independent,Independent,Independent
9,Independent,Independent,Independent,Independent,Independent,Independent
10,Independent,Independent,Independent,Independent,Independent,Independent
11,Independent,Independent,Independent,Independent,Independent,Independent
12,3,Independent,Independent,DS1,DS1,DS1
13,Independent,Independent,Independent,Independent,Independent,Independent
14,Independent,Independent,Independent,Independent,Independent,Independent
15,Independent,Independent,Independent,Independent,Independent,Independent
16,Independent,Independent,Independent,Independent,Independent,Independent
17,Independent,Independent,Independent,Independent,Independent,Independent
18,Independent,Independent,Independent,Independent,Independent,Independent
19,Independent,Independent,Independent,Independent,Independent,Independent
20,3,Independent,Independent,DS1,DS1,DS1
